@RELATION 'Amazon Product Reviews'

@ATTRIBUTE sentence STRING 
@ATTRIBUTE classAttribute {Positive,Negative}

@DATA
'I\'ll be looking for a new earpiece.',Negative
'It\'s AGGRAVATING!',Negative
'I have this phone and it is a thorn in my side, I really abhor it.',Negative
'I own 2 of these cases and would order another.',Positive
'Comfortable, Nice Range, Good Battery Life.',Positive
'i would advise to not purchase this item it never worked very well.',Negative
'I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.',Negative
'Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.',Negative
'It quit working after I\'d used it for about 18 months, so I just purchased another one because this is the best headset I\'ve ever owned.',Positive
'Also makes it easier to hold on to.',Positive
'THAT one didn\'t work either.',Negative
'Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!',Negative
'if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.',Negative
'One of my favorite purchases ever.',Positive
'This product is very High quality Chinese CRAP!!!!!!',Negative
'At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).',Negative
'It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it\'s not.',Positive
'Exactly what I wanted.',Positive
'Using all earpieces, left or right, this thing will not stay on my ear.',Negative
'The cable looks so thin and flimsy, it is scary.',Negative
'Poor product.',Negative
'I found the product to be easy to set up and use.',Positive
'I especially love the long battery life.',Positive
'It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.',Positive
'The picture resolution is far below what other comparably-priced phones are offering today.',Negative
'Battery has no life.',Negative
'It was quite comfortable in the ear.',Positive
'This allows the possibility of double booking for the same date and time after the first.',Negative
'Poor Talk Time Performance.',Negative
'I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.',Positive
'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.',Negative
'Product was excellent and works better than the verizon one and Boy was it cheaper!',Positive
'Their Research and Development division obviously knows what they\'re doing.',Positive
'Looks great and is strong."',Positive
'But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I\'m lost.',Negative
'However I needed some better instructions.',Negative
'Poor quality.',Negative
'awesome device.',Positive
'Battery charge-life is quite long.',Positive
'It was an inexpensive piece, but I would still have expected better quality.',Negative
'So there is no way for me to plug it in here in the US unless I go by a converter.',Negative
'It didn\'t charge for me.',Negative
'I cannot make calls at certain places.',Negative
'I purchased this and within 2 days it was no longer working!!!!!!!!!',Negative
'Fits comfortably, came with three sizes of earbud tips.',Positive
'It fits my ear well and is comfortable on.',Positive
'I highly recommend this case.',Positive
'Great for iPODs too.',Positive
'Great Value.',Positive
'Disappointed with battery.',Negative
'Great bluetooth!.',Positive
'Couldn\'t use the unit with sunglasses, not good in Texas!',Negative
'This is cool because most cases are just open there allowing the screen to get all scratched up.',Positive
'Very happy with this product.',Positive
'Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.',Positive
'Happy so far!.',Positive
'Works for me.',Positive
'After 3 months, screen just went black all of a sudden.',Negative
'While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.',Negative
'Not a good item.. It worked for a while then started having problems in my auto reverse tape player.',Negative
'Great product for the price!.',Positive
'It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.',Positive
'If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.',Negative
'The screen does get smudged easily because it touches your ear and face.',Negative
'Love it.. Great armband.',Positive
'It does everything the description said it would.',Positive
'Audio Quality is poor, very poor.',Negative
'Best headset ever!!!.',Positive
'Would recommend this item.',Positive
'I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.',Positive
'AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.',Negative
'I have always used corded headsets and the freedom from the wireless is very helpful.',Positive
'As an earlier review noted, plug in this charger and nothing happens.',Negative
'However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn\'t receive and place calls.',Negative
'Not loud enough and doesn\'t turn on like it should.',Negative
WORTHWHILE.,Positive
'Five star Plus, plus.',Positive
'Very Dissapointing Performance.',Negative
'All in all I think it was a good investment.',Positive
'The phone can also take great pictures and even video clips.',Positive
'Does not fit.',Negative
'This frog phone charm is adorable and very eye catching.',Positive
'I love all the features and form factor.',Positive
'The majority of the Logitech earbud headsets failed.',Negative
'It finds my cell phone right away when I enter the car.',Positive
'(It works!)',Positive
'VERY comfortable.',Positive
'So Far So Good!.',Positive
'Very Displeased.',Negative
'So anyone near you will hear part of your conversation.',Negative
'Phone is sturdy as all nokia bar phones are.',Positive
'Same problem as others have mentioned.',Negative
'The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.',Positive
'I am very impressed with the job that Motorola did on the sturdiness of this phone.',Positive
'During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.',Negative
'the charger worked for about a week and then completely stopped charging my phone.',Negative
'Great price, too!',Positive
'I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.',Positive
'Also, the phone doesn\'t seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.',Negative
'Well packaged, arrived on time, and works as intended.',Positive
'Don\'t waste your money!.',Negative
'I highly recommend these and encourage people to give them a try.',Positive
'The reception is excellent!',Positive
'The bose noise cancelling is amazing, which is very important for a NYC commuter.',Positive
'A week later after I activated it, it suddenly died.',Negative
'This is a great deal.',Positive
'I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good',Negative
'bad fit, way too big.',Negative
'It is very comfortable on the ear.',Positive
'For the price on Amazon, it is an excellent product, which I would highly recommend.',Positive
'It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.',Positive
'I purcashed this for the car charger and it does not work.',Negative
'Good transmit audio.',Positive
'I love this bluetooth!',Positive
'Its well-designed and very sharp -- the blue is a very nice color.',Positive
'The only good thing was that it fits comfortably on small ears.',Positive
'#1 It Works - #2 It is Comfortable.',Positive
'I\'ve had no trouble accessing the Internet, downloading ringtones or performing any of the functions.',Positive
'My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!',Negative
'The first thing that happened was that the tracking was off.',Negative
'Excellent hands free tool.',Positive
'Bad Quality.',Negative
'The instruction manual is lacking.',Negative
'Battery is terrible.',Negative
'Unreliable - I\'m giving up.',Negative
'Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.',Positive
'Best I\'ve found so far .... I\'ve tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.',Positive
'After a year the battery went completely dead on my headset.',Negative
'The volume switch rocketed out of the unit to a destination unknown.',Negative
'Blue Ant is easy to use.',Positive
'The reception has been generally good.',Positive
'Absolutel junk.',Negative
'Just does not work.',Negative
'I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.',Negative
'Excellent starter wireless headset.',Negative
'I like the fact that it rests lightly against your ear, rather than inside.',Positive
'Better than you\'d expect.',Positive
'Does not work for listening to music with the cingular 8125.',Negative
'Works fine.',Positive
'nice leather.',Positive
'My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.',Negative
'Disappointing accessory from a good manufacturer.',Negative
'Sprint charges for this service.',Negative
'We have gotten a lot of compliments on it.',Positive
'Good case, Excellent value.',Positive
'Motorola finally got the voice quality of a bluetooth headset right.',Positive
'Virgin Wireless rocks and so does this cheap little phone!',Positive
'The mic there is a joke, and the volume is quite low.',Negative
'However, the ear pads come off easily and after only one week I lost one.',Negative
'The BT headset was such a disapoinment.',Negative
'wont work right or atleast for me.',Negative
'These products cover up the important light sensor above the ear outlet.',Negative
'its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.',Positive
'Makes it easier to keep up with my bluetooth when I\'m not wearing it.',Negative
'I have to use the smallest earpieces provided, but it stays on pretty well.',Positive
'I\'d like to return it.',Negative
'The case is great and works fine with the 680.',Positive
'Poor Reliability.',Negative
'It\'s a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!',Positive
'Excellent product.',Positive
'I only used it two days, and it wasn\'t always easy to hear with.',Negative
'Everything about this product is wrong.First',Negative
'I love this device.',Positive
'Battery life is also great!',Positive
'Great phone.',Positive
'None of it works, just don\'t buy it.',Negative
'Integrated seamlessly with the Motorola RAZR phone.',Positive
'Works great.',Positive
'I\'ve had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.',Negative
'I does not maintain a connection with the computer while it is on my lap.',Negative
'.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.',Positive
'Great phone!.',Positive
'The best phone in market :).',Positive
'I love the ringtones because they are so upbeat!',Positive
'but it is great, i would really recommend it',Positive
'The design is very good.4.',Positive
'Plug was the wrong size.',Negative
'What a waste.',Negative
'Because both ears are occupied, background is not distracting at all.',Positive
'You can\'t beat the price on these.',Positive
'Poorly contstruct hinge.',Negative
'fast service.',Positive
'The delivery was on time.',Positive
'Excellent sound quality.',Positive
'Price is good too.',Positive
')Setup couldn\'t have been simpler.',Positive
'The company shipped my product very promptly and it works well.',Positive
'Not enough volume.',Negative
'I am glad I purchased it.',Positive
'Utter crap.. Sound quality is TERRIBLE.',Negative
'I wouldn\'t recommend buying this product.',Negative
'As many people complained, I found this headset\'s microphone was very weak.',Negative
'I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.',Positive
'Still Waiting...... I\'m sure this item would work well.. if I ever recieve it!',Negative
'Painful on the ear.',Negative
'Battery is holding up well.',Positive
'Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.',Negative
'Worst customer service.',Negative
'1. long lasting battery (you don\'t have to recharge it as frequentyly as some of the flip phones)2.',Negative
'lightweight and works well.',Positive
'Essentially you can forget Microsoft\'s tech support.',Negative
'I am sorry I made this purchase.',Negative
'I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!',Positive
'Nice docking station for home or work.',Positive
'Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.',Positive
'Another note about this phone\'s appearance is that it really looks rather bland, especially in the all black model.',Negative
'If you hate earbugs, avoid this phone by all means.',Negative
'Will order from them again!',Positive
'Gets the job done.',Positive
'Basically the service was very bad.',Negative
'im surprised this is a good quality car charger and there\'s not much reviews about it.',Positive
'They do not care about the consumer one bit.',Negative
'horrible, had to switch 3 times.',Negative
'Not good when wearing a hat or sunglasses.',Negative
'jabra ear gels "R" the best!.',Positive
'It is practically useless and did not add any kind of boost to my reception after I bought it.',Negative
'* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!',Positive
'Freezes frequently4.',Negative
'Best of all is the rotating feature, very helpful.',Positive
'I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.',Positive
'Just what I wanted.',Positive
'I am also very happy with the price.',Positive
'Do Not Buy for D807...wrongly advertised for D807.',Negative
'First of all, it doesn\'t wear well.',Negative
'It was a waste of my money.',Negative
'So I had to take the battery out of the phone put it all back together and then restart it.',Negative
'I did not have any problem with this item and would order it again if needed.',Positive
'This one works and was priced right.',Positive
'I connected my wife\'s bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.',Positive
'People couldnt hear me talk and I had to pull out the earphone and talk on the phone.',Negative
'A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!',Negative
'Needless to say, I wasted my money.',Negative
'It makes very strange ticking noises before it ends the call.',Negative
'Great for using with your home stereo.',Positive
'One thing I hate is the mode set button at the side.',Negative
'Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.',Positive
'I know that sounds funny, but to me it seemed like sketchy technology that wouldn\'t work well.Well, this one works great.',Positive
'Fantastic buy and will get again for whatever my next phone is',Positive
'Simple, lightweight and great fit.',Positive
'We are sending it back.',Negative
'Great audio!.',Positive
'New Battery works great in phone.',Positive
'However, the keypads are so tinny that I sometimes reach the wrong buttons.',Negative
'Bad Purchase.',Negative
'Were JERKS on the phone.',Negative
'My father has the V265, and the battery is dying.',Negative
'This phone might well be the worst I\'ve ever had in any brand.',Negative
'The nokia CA-42 USB cable did not work with my phone.',Negative
'Love This Phone.',Positive
'Lately they have been extremely nice and helpful on the phone.',Positive
'Love this product.',Positive
'I checked everywhere and there is no feature for it which is really disappointing.',Negative
'They refuse to refund or replace.',Negative
'It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.',Positive
disappointed.,Negative
'I bought two of them and neither will charge.',Negative
'Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.',Positive
'Works great!.',Positive
'Excellent wallet type phone case.',Positive
'best bluetooth on the market.',Positive
'I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.',Negative
'Great phone!.',Positive
'Never got it!!!!!',Negative
'Last time buying from you.',Negative
'You\'ll love how thin it is.',Positive
'Doesn\'t do the job.',Negative
'I wasted my little money with this earpiece.',Negative
'I\'ve had this for nearly 2 years and it has worked great for me.',Positive
'This item is fantastic and works perfectly!',Positive
'its extremely slow and takes forever to do anything with it.',Negative
'Linksys should have some way to exchange a bad phone for a refurb unit or something!',Negative
'This fixes all the problems.',Positive
'I posted more detailed comments under the grey or black phone, but i have the Fire Red and it\'s a great color!',Positive
'Provides good protection and looks classy, too.',Positive
'Good case!.',Positive
'The loudspeaker option is great, the bumpers with the lights is very ... appealing.',Negative
'We would recommend these to others.',Positive
'Due to this happening on every call I was forced to stop using this headset.',Negative
'Think it over when you plan to own this one!This sure is the last MOTO phone for me!',Negative
'Verizon\'s bills, however, are difficult to understand even though their pricing plans are simple.',Negative
'I love the look and feel of Samsung flipphones.',Positive
'Very disappointed in AccessoryOne.',Negative
'Nice case, feels good in your hands.',Positive
'Piece of trash.',Negative
'Sprint - terrible customer service.',Negative
'Better than expected.',Positive
'It worked very well.',Positive
'Works like a charm; it work the same as the one I got with the phone.',Positive
'The worst phone I\'ve ever had.... Only had it for a few months.',Negative
'No additional ear gels provided, and no instructions whatsoever.',Negative
'It has kept up very well.',Positive
'I ordered this product first and was unhappy with it immediately.',Negative
'Phone falls out easily.',Negative
'I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.',Negative
'So I bought about 10 of these and saved alot of money.',Positive
'It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.',Positive
'Worked great!.',Positive
'I am very impressed with this headset from Plantronics.',Positive
'The battery works great!',Positive
'good item, low price.',Positive
'Keep up the good work Amazon!!',Positive
'I\'ve tried several different earpieces for my cell phone and this Jabra one is the first one I\'ve found that fits my ear comfortably.',Positive
'You get extra minutes so that you can carry out the call and not get cut off."',Positive
'The update procedure is difficult and cumbersome.',Negative
'I love this phone!.',Positive
'The keyboard is really worthwhile in usefulness and is sturdy enough I don\'t expect any problems.',Positive
'I\'m very disappointed with my decision.',Negative
'The battery is working well as a replacement for the original that came with the phone over 2 years ago.',Positive
'Don\'t trust their website and don\'t expect any helpful support.',Negative
'it did not work in my cell phone plug i am very up set with the charger!.',Negative
'My phone sounded OK ( not great - OK), but my wife\'s phone was almost totally unintelligible, she couldn\'t understand a word being said on it.',Negative
'When it opens, the battery connection is broken and the device is turned off.',Negative
'The shipping time was also very quick!',Positive
'The best electronics of the available FM Transmitters.',Positive
'The mic is great.',Positive
'I bought this to use with my Kindle Fire and absolutely loved it!',Positive
'Now I know that I made a wise decision.',Positive
'If there is a wind, it is completely useless.',Negative
'I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!',Positive
'I got this phone on reccomendation from a relative and I\'m glad I did.',Positive
'Waste of money.',Negative
'Item Does Not Match Picture.',Negative
'Poor Construction.',Negative
'This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!',Positive
'The accompanied software is almost brilliant.',Positive
'It has everything I need and I couldn\'t ask for more.',Positive
'The "1.2" mega pixel camera, being a part of a phone, is reasonably good7.',Positive
'great headset, very impressed - H500.',Positive
'It is unusable in a moving car at freeway speed.',Negative
'Big Disappointment with calendar sync.',Negative
'Sending it back.',Negative
'I\'m pleased.',Positive
'After my phone got to be about a year old, it\'s been slowly breaking despite much care on my part.',Negative
'Muddy, low quality sound, and the casing around the wire\'s insert was poorly super glued and slid off.',Negative
'In the span of an hour, I had two people exclaim "Whoa - is that the new phone on TV?!?',Positive
'It is cheap, and it feel and look just as cheap.',Negative
'Horrible, horrible protector.',Negative
'I searched the Internet, and found this one to be the best value.',Positive
'don\'t waste your money.',Negative
'It has been a winner for us.',Positive
'Phone now holds charge like it did when it was new.',Positive
'Absolutely great.',Positive
'I had ordered a motorola data cable, got a very well finished and working product.',Positive
'I was very excited to get this headset because I thought it was really cute.',Positive
'I was not happy with this item.',Negative
'The charger arrived within the promised timeframe, but it did not work.',Negative
'This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.',Negative
'What a waste of money and time!.',Negative
'Seller shipped quickly and much cheaper than the competitors.',Positive
'Doesn\'t Work.',Negative
'I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.',Negative
'W810i is just SUPERB.',Positive
'Great product.',Positive
'Used and dirty.',Negative
'[...] down the drain because of a weak snap!',Negative
'Perfect for the PS3.',Positive
'Do NOT buy if you want to use the holster.',Negative
'Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.',Negative
'Superb Phone on a Great Network.',Positive
'This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.',Negative
'Works great!.',Positive
'Low Quality.',Negative
'I have to jiggle the plug to get it to line up right to get decent volume.',Negative
'I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.',Positive
'what a disappointment',Negative
'camera color balance is AWFUL.',Negative
'Leopard Print is wonderfully wild!.',Positive
'I have two more years left in this contract and I hate this phone.',Negative
'Great product, fast shipping!.',Positive
'Not only will it drain your player, but may also potentially fry it.',Negative
'THey are so cool!',Positive
'Nice design and quality.',Positive
'Good show, Samsung.',Positive
'It is simple to use and I like it.',Positive
'WELL IM SATISFIED.',Positive
'It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.',Negative
'These are certainly very comfortable and functionality is decent.',Positive
'They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.',Positive
'That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.',Positive
'I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.',Positive
'It also had a new problem.',Negative
'Don\'t buy this product.',Negative
'The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.',Positive
'This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.',Positive
'A Disappointment.',Negative
'In my house I was getting dropped coverage upstairs and no coverage in my basement.',Negative
'Logitech Bluetooth Headset is a 10!.',Positive
'Arrived quickly and much less expensive than others being sold.',Positive
'Then I exchanged for the same phone, even that had the same problem.',Negative
'Mic Doesn\'t work.',Negative
'Also the area where my unit broke).- I\'m not too fond of the magnetic strap.',Negative
'Good product, good seller.',Positive
'I can\'t use this case because the smell is disgusting.',Negative
'I got it because it was so small and adorable.',Positive
'doesn\'t last long.',Negative
'Awsome Device Works Great!!.',Positive
'Worst Customer Service Ever.',Negative
'The look of it is very sharp and the screen is nice and clear, with great graphics.',Positive
'This phone tries very hard to do everything but fails at it\'s very ability to be a phone.',Negative
'$50 Down the drain.',Negative
'I would have given no star if I was able.',Negative
'And none of the tones is acceptable.',Negative
'I love this thing!',Positive
'We have tried 2 units and they both failed within 2 months.. Pros',Negative
'This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.',Negative
'I can hear while I\'m driving in the car, and usually don\'t even have to put it on it\'s loudest setting.',Positive
'Buyer Beware, you could flush money right down the toilet.',Negative
'This is definitely a must have if your state does not allow cell phone usage while driving.',Positive
'Voice Quality, Signal Strength, Dropped Calls.',Negative
'Great price also!',Positive
'Great Pocket PC / phone combination.',Positive
'A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.',Positive
'Great product and price.',Positive
'This is the first phone I\'ve had that has been so cheaply made.',Negative
'Only had this a month but it\'s worked flawlessly so far.',Positive
'I would not recommend this item to anyone.',Negative
'Yes it\'s shiny on front side - and I love it!',Positive
'Excellent sound, battery life and inconspicuous to boot!.',Positive
'They keep getting better and better (this is my third one and I\'ve had numerous Palms too).',Positive
'I had to go to a store and bought a new NOKIA phone which is working great.',Positive
'The volume for the ringer is REAL good (you have choices how loud).',Positive
'You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.',Negative
'Pretty piece of junk.',Negative
'It has all the features I want',Positive
'I had Verizon 2 years ago and really liked their service.',Positive
'The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.',Positive
'A pretty good product.',Positive
'Also difficult to put on.I\'d recommend avoiding this product.',Negative
'The earpiece on this is too large or too heavy...it keeps falling out of my ear.',Negative
'I was able to do voice dialing in the car with no problem.',Positive
'The only thing that I think could improve is the sound leaks out from the headset.',Negative
'Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.',Positive
'A must study for anyone interested in the "worst sins" of industrial design.',Negative
'Thank you for such great service.',Positive
'Very prompt service.',Positive
'It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.',Negative
'The sound quality is excellent as well.',Positive
'It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.',Positive
'I was not impressed by this product.',Negative
