@RELATION Yelp

@ATTRIBUTE sentence STRING 
@ATTRIBUTE classAttribute {Positive,Negative}

@DATA
'Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn\'t want to eat it for fear of getting sick.',Negative
'Will go back next trip out.',Positive
'Just don\'t know why they were so slow.',Negative
'The refried beans that came with my meal were dried out and crusty and the food was bland.',Negative
'Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.',Positive
'I\'ll definitely be in soon again.',Positive
'We loved the place.',Positive
'For a self proclaimed coffee cafe, I was wildly disappointed.',Negative
'I will come back here every time I\'m in Vegas.',Positive
'This is the place where I first had pho and it was amazing!!',Positive
'CONCLUSION: Very filling meals.',Positive
'Great atmosphere, friendly and fast service.',Positive
'Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!',Negative
'too bad cause I know it\'s family owned, I really wanted to like this place.',Negative
'I wouldn\'t return.',Negative
'High-quality chicken on the chicken Caesar salad.',Positive
'Del Taco is pretty nasty and should be avoided if possible.',Negative
'To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.',Positive
'The waiter wasn\'t helpful or friendly and rarely checked on us.',Negative
'The buffet is small and all the food they offered was BLAND.',Negative
'Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV\'s.',Positive
'Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.',Positive
'Definitely a turn off for me & i doubt I\'ll be back unless someone else is buying.',Negative
'Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!',Positive
'The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.',Positive
'My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.',Positive
'The only good thing was our waiter, he was very helpful and kept the bloddy mary\'s coming.',Positive
'The Greek dressing was very creamy and flavorful.',Positive
'you can watch them preparing the delicious food!)',Positive
'The steaks are all well trimmed and also perfectly cooked.',Positive
'walked in and the place smelled like an old grease trap and only 2 others there eating.',Negative
'It kept getting worse and worse so now I\'m officially done.',Negative
'If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.',Negative
'Their daily specials are always a hit with my group.',Positive
'Would not recommend to others.',Negative
'And the chef was generous with his time (even came around twice so we can take pictures with him).',Positive
'it was a drive to get there.',Negative
'It really is impressive that the place hasn\'t closed down.',Negative
'Im in AZ all the time and now have my new spot.',Positive
'The management is rude.',Negative
'They dropped more than the ball.',Negative
'The bathrooms are clean and the place itself is well decorated.',Positive
'I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.',Negative
'Delicious and I will absolutely be back!',Positive
'I live in the neighborhood so I am disappointed I won\'t be back here, because it is a convenient location.',Negative
'This is a GREAT place to eat!',Positive
'Ambience is perfect.',Positive
'So absolutley fantastic.',Positive
'She was quite disappointed although some blame needs to be placed at her door.',Negative
'It\'s a great place and I highly recommend it.',Positive
'Service was slow and not attentive.',Negative
'They also have the best cheese crisp in town.',Positive
'I also had to taste my Mom\'s multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!',Positive
'I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!',Negative
'I did not expect this to be so good!',Positive
'The seafood was fresh and generous in portion.',Positive
'My boyfriend tried the Mediterranean Chicken Salad and fell in love.',Positive
'We aren\'t ones to make a scene at restaurants but I just don\'t get it...definitely lost the love after this one!',Negative
'The waitress and manager are so friendly.',Positive
'I ordered the Voodoo pasta and it was the first time I\'d had really excellent pasta since going gluten free several years ago.',Positive
'Bland... Not a liking this place for a number of reasons and I don\'t want to waste time on bad reviewing.. I\'ll leave it at that...',Negative
'What a great double cheeseburger!',Positive
'We enjoy their pizza and brunch.',Positive
'If you want healthy authentic or ethic food, try this place.',Positive
'I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.',Positive
'The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.',Positive
'I probably won\'t be back, to be honest.',Negative
'The chicken dishes are OK, the beef is like shoe leather.',Negative
'However, my recent experience at this particular location was not so good.',Negative
'No, I\'m going to eat the potato that I found some strangers hair in it.',Negative
'-My order was not correct.',Negative
'Frozen pucks of disgust, with some of the worst people behind the register.',Negative
'I took back my money and got outta there.',Negative
'I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.',Negative
'If someone orders two tacos don\'t\' you think it may be part of customer service to ask if it is combo or ala cart?',Negative
'Great place fo take out or eat in.',Positive
'Then our food came out, disappointment ensued.',Negative
'The waitresses are very friendly.',Positive
'I have been here several times in the past, and the experience has always been great.',Positive
'I\'m super pissd.',Negative
'Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.',Negative
'Great food and service, huge portions and they give a military discount.',Positive
'The service was extremely slow.',Negative
'Update.....went back for a second time and it was still just as amazing',Positive
'the spaghetti is nothing special whatsoever.',Negative
'Horrible - don\'t waste your time and money.',Negative
'I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.',Negative
'It was pretty gross!',Negative
'say bye bye to your tip lady!',Negative
'The place was not clean and the food oh so stale!',Negative
'Point your finger at any item on the menu, order it and you won\'t be disappointed.',Positive
'And considering the two of us left there very full and happy for about $20, you just can\'t go wrong.',Positive
'Great time - family dinner on a Sunday night.',Positive
'If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.',Positive
'For service, I give them no stars.',Negative
'It was extremely "crumby" and pretty tasteless.',Negative
'I don\'t know what the big deal is about this place, but I won\'t be back "ya\'all".',Negative
'After two I felt disgusting.',Negative
'A lady at the table next to us found a live green caterpillar In her salad.',Negative
'I loved the grilled pizza, reminded me of legit Italian pizza.',Positive
'Service was fine and the waitress was friendly.',Positive
'Service was very prompt.',Positive
'Which are small and not worth the price.',Negative
'Thoroughly disappointed!',Negative
'Friend\'s pasta -- also bad, he barely touched it.',Negative
'I probably would not go here again.',Negative
'Furthermore, you can\'t even find hours of operation on the website!',Negative
'I won\'t try going back there even if it\'s empty.',Negative
'My girlfriend\'s veal was very bad.',Negative
'This place is horrible and way overpriced.',Negative
'That said, our mouths and bellies were still quite pleased.',Positive
'The place was fairly clean but the food simply wasn\'t worth it.',Negative
'Overall, I don\'t think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.',Negative
'for 40 bucks a head, i really expect better food.',Negative
'He was terrible!',Negative
'Ryan\'s Bar is definitely one Edinburgh establishment I won\'t be revisiting.',Negative
'Hands down my favorite Italian restaurant!',Positive
'It was equally awful.',Negative
'These are the nicest restaurant owners I\'ve ever come across.',Positive
'Not tasty and the texture was just nasty.',Negative
'The menu had so much good stuff on it i could not decide!',Positive
'Definitely not worth the $3 I paid.',Negative
'The chips and salsa were really good, the salsa was very fresh.',Positive
'So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.',Positive
'I can\'t wait to go back.',Positive
'My boyfriend and i sat at the bar and had a completely delightful experience.',Positive
'Ordered burger rare came in we\'ll done.',Negative
'I know this is not like the other restaurants at all, something is very off here!',Negative
'This was my first time and I can\'t wait until the next.',Positive
'Over rated.',Negative
'They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.',Positive
'You get incredibly fresh fish, prepared with care.',Positive
'Penne vodka excellent!',Positive
'The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).',Negative
'Would come back again if I had a sushi craving while in Vegas.',Positive
'This place is two thumbs up....way up.',Positive
'That just SCREAMS "LEGIT" in my book...somethat\'s also pretty rare here in Vegas.',Positive
'We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.',Negative
'Will not be back.',Negative
'She ordered a toasted English muffin that came out untoasted.',Negative
'This is one of the best bars with food in Vegas.',Positive
'Great Pizza and Salads!',Positive
'I\'m not really sure how Joey\'s was voted best hot dog in the Valley by readers of Phoenix Magazine.',Negative
'Food was really boring.',Negative
'I love the owner/chef, his one authentic Japanese cool dude!',Positive
'But I don\'t like it.',Negative
'Went in for happy hour, great list of wines.',Positive
'We were sat right on time and our server from the get go was FANTASTIC!',Positive
'- Really, really good rice, all the time.',Positive
'This place is pretty good, nice little vibe in the restaurant.',Positive
'- the food is rich so order accordingly.',Positive
'I was mortified.',Negative
'Great food.',Positive
'Have been going since 2007 and every meal has been awesome!!',Positive
'Now this dish was quite flavourful.',Positive
'Spend your money elsewhere.',Negative
'The real disappointment was our waiter.',Negative
'My salad had a bland vinegrette on the baby greens and hearts of Palm.',Negative
'Unfortunately, it was not good.',Negative
'Crust is not good.',Negative
'The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.',Positive
'I paid the bill but did not tip because I felt the server did a terrible job.',Negative
'I hope this place sticks around.',Positive
'I don\'t recommend unless your car breaks down in front of it and you are starving.',Negative
'* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!',Positive
'The food sucked, which we expected but it sucked more than we could have imagined.',Negative
'They have great dinners.',Positive
'Weird vibe from owners.',Negative
'It took over 30 min to get their milkshake, which was nothing more than chocolate milk.',Negative
'first time there and might just be the last.',Negative
'Awful service.',Negative
'I\'ve had better atmosphere.',Negative
'I could barely stomach the meal, but didn\'t complain because it was a business lunch.',Negative
'Damn good steak.',Positive
'Not good for the money.',Negative
'Terrible management.',Negative
'A fantastic neighborhood gem !!!',Positive
'I came back today since they relocated and still not impressed.',Negative
'The jalapeno bacon is soooo good.',Positive
'Our waiter was very attentive, friendly, and informative.',Positive
'Very very fun chef.',Positive
'I found this place by accident and I could not be happier.',Positive
'Perhaps I caught them on an off night judging by the other reviews, but I\'m not inspired to go back.',Negative
'That\'s right....the red velvet cake.....ohhh this stuff is so good.',Positive
'Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.',Negative
'I was seated immediately.',Positive
'Why are these sad little vegetables so overcooked?',Negative
'It was delicious!!!',Positive
'I really enjoyed eating here.',Positive
'The staff was very attentive.',Positive
'The last 3 times I had lunch here has been bad.',Negative
'This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.',Negative
'I can assure you that you won\'t be disappointed.',Positive
'Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.',Positive
'All I have to say is the food was amazing!!!',Positive
'The only thing I did like was the prime rib and dessert section.',Positive
'He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.',Negative
'The chicken wings contained the driest chicken meat I have ever eaten.',Negative
'Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!',Positive
'I love the decor with the Chinese calligraphy wall paper.',Positive
'We started with the tuna sashimi which was brownish in color and obviously wasn\'t fresh.',Negative
'I don\'t have very many words to say about this place, but it does everything pretty well.',Positive
'Much better than the other AYCE sushi place I went to in Vegas.',Positive
'I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!',Positive
'I\'ve never been more insulted or felt disrespected.',Negative
'Some highlights : Great quality nigiri here!',Positive
'Service sucks.',Negative
'RUDE & INCONSIDERATE MANAGEMENT.',Negative
'Soggy and not good.',Negative
'The pizza selections are good.',Positive
'My gyro was basically lettuce only.',Negative
'Host staff were, for lack of a better word, BITCHES!',Negative
'We thought you\'d have to venture further away to get good sushi, but this place really hit the spot that night.',Positive
'Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.',Negative
'It was a pale color instead of nice and char and has NO flavor.',Negative
'If you want to wait for mediocre food and downright terrible service, then this is the place for you.',Negative
'Don\'t bother coming here.',Negative
'Food was really good and I got full petty fast.',Positive
'The food was excellent and service was very good.',Positive
'I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.',Positive
'The service was great, even the manager came and helped with our table.',Positive
'Google mediocre and I imagine Smashburger will pop up.',Negative
'I will never go back to this place and will never ever recommended this place to anyone!',Negative
'very tough and very short on flavor!',Negative
'Nice ambiance.',Positive
'But I definitely would not eat here again.',Negative
'Food was great and so was the serivce!',Positive
'Restaurant is always full but never a wait.',Positive
'I waited and waited.',Negative
'Highly unprofessional and rude to a loyal patron!',Negative
'I don\'t think I\'ll be running back to Carly\'s anytime soon for food.',Negative
'It was a bit too sweet, not really spicy enough, and lacked flavor.',Negative
'I believe that this place is a great stop for those with a huge belly and hankering for sushi.',Positive
'Just had lunch here and had a great experience.',Positive
'Just spicy enough.. Perfect actually.',Positive
'Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.',Positive
'Pricing is a bit of a concern at Mellow Mushroom.',Negative
'You cant go wrong with any of the food here.',Positive
'I had a seriously solid breakfast here.',Positive
'This place has it!',Positive
'Sorry, I will not be getting food from here anytime soon :(',Negative
'Overall, I like there food and the service.',Positive
'Never again will I be dining at this place!',Negative
'It was probably dirt.',Negative
'The ambiance was incredible.',Positive
'Service was fantastic.',Positive
'I miss it and wish they had one in Philadelphia!',Positive
'By this point, my friends and I had basically figured out this place was a joke and didn\'t mind making it publicly and loudly known.',Negative
'I dont think I will be back for a very long time.',Negative
'Good Service-check!',Positive
'It\'s like a really sexy party in your mouth, where you\'re outrageously flirting with the hottest person at the party.',Positive
'Great steak, great sides, great wine, amazing desserts.',Positive
'This place should honestly be blown up.',Negative
'I had to wait over 30 minutes to get my drink and longer to get 2 arepas.',Negative
'I would not recommend this place.',Negative
'We waited for forty five minutes in vain.',Negative
'Never going back.',Negative
'I had the mac salad and it was pretty bland so I will not be getting that again.',Negative
'I really do recommend this place, you can go wrong with this donut place!',Positive
'The roast beef sandwich tasted really good!',Positive
'The atmosphere here is fun.',Positive
'I don\'t each much pasta, but I love the homemade /hand made pastas and thin pizzas here.',Positive
'My fiancé and I came in the middle of the day and we were greeted and seated right away.',Positive
'They know how to make them here.',Positive
'Third, the cheese on my friend\'s burger was cold.',Negative
'So they performed.',Positive
'I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.',Negative
'So don\'t go there if you are looking for good food...',Negative
'The croutons also taste homemade which is an extra plus.',Positive
'The atmosphere was great with a lovely duo of violinists playing songs we requested.',Positive
'They were golden-crispy and delicious.',Positive
'Best service and food ever, Maria our server was so good and friendly she made our day.',Positive
'This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.',Positive
'I love this place.',Positive
'Your staff spends more time talking to themselves than me.',Negative
'Their steaks are 100% recommended!',Positive
'will definitely be back!',Positive
'At least think to refill my water before I struggle to wave you over for 10 minutes.',Negative
'I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.',Negative
'It was so bad, I had lost the heart to finish it.',Negative
'We will not be coming back.',Negative
'As much as I\'d like to go back, I can\'t get passed the atrocious service and will never return.',Negative
'Overall I was not impressed and would not go back.',Negative
'The cashew cream sauce was bland and the vegetables were undercooked.',Negative
'The black eyed peas and sweet potatoes... UNREAL!',Positive
'We are so glad we found this place.',Positive
'But the service was beyond bad.',Negative
'The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.',Negative
'Boy was that sucker dry!!.',Negative
'I swung in to give them a try but was deeply disappointed.',Negative
'The bus boy on the other hand was so rude.',Negative
'The service was meh.',Negative
'I would avoid this place if you are staying in the Mirage.',Negative
'It was either too cold, not enough flavor or just bad.',Negative
'Service was exceptional and food was a good as all the reviews.',Positive
'I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it\'s amazing what they do with eggplant!).',Positive
'Terrible service!',Negative
'They really want to make your experience a good one.',Positive
'What I really like there is the crepe station.',Positive
'I want to first say our server was great and we had perfect service.',Positive
'The food was great as always, compliments to the chef.',Positive
'WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.',Negative
'The ripped banana was not only ripped, but petrified and tasteless.',Negative
'OMG, the food was delicioso!',Positive
'I love this place.',Positive
'Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!',Positive
'The restaurant atmosphere was exquisite.',Positive
'They will customize your order any way you\'d like, my usual is Eggplant with Green Bean stir fry, love it!',Positive
'I love the Pho and the spring rolls oh so yummy you have to try.',Positive
'Great service and food.',Positive
'The pancake was also really good and pretty large at that.',Positive
'The turkey and roast beef were bland.',Negative
'They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.',Positive
'Kind of hard to mess up a steak but they did.',Negative
'This place is way too overpriced for mediocre food.',Negative
'We asked for the bill to leave without eating and they didn\'t bring that either.',Negative
'The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.',Negative
'I\'m not impressed with the concept or the food.',Negative
'The waitress was friendly and happy to accomodate for vegan/veggie options.',Positive
'I had strawberry tea, which was good.',Positive
'Appetite instantly gone.',Negative
'The staff is great, the food is delish, and they have an incredible beer selection.',Positive
'The RI style calamari was a joke.',Negative
'The food was terrible.',Negative
'The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.',Negative
'The grilled chicken was so tender and yellow from the saffron seasoning.',Positive
'Great brunch spot.',Positive
'The fried rice was dry as well.',Negative
'Won\'t ever go here again.',Negative
'I was disgusted because I was pretty sure that was human hair.',Negative
'The best place in Vegas for breakfast (just check out a Sat, or Sun.',Positive
'I found a six inch long piece of wire in my salsa.',Negative
'This place is awesome if you want something light and healthy during the summer.',Positive
'I find wasting food to be despicable, but this just wasn\'t food.',Negative
'The chefs were friendly and did a good job.',Positive
'On the up side, their cafe serves really good food.',Positive
'I guess maybe we went on an off night but it was disgraceful.',Negative
'Phenomenal food, service and ambiance.',Positive
'AVOID THIS ESTABLISHMENT!',Negative
'It was way over fried.',Negative
'Overall I wasn\'t very impressed with Noca.',Negative
'The food was delicious, our bartender was attentive and personable AND we got a great deal!',Positive
'I will be back many times soon.',Positive
'Don\'t do it!!!!',Negative
'I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.',Negative
'And the red curry had so much bamboo shoots and wasn\'t very tasty to me.',Negative
'An extensive menu provides lots of options for breakfast.',Positive
'Overall, I like this place a lot.',Positive
'Good value, great food, great service.',Positive
'!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!',Negative
'We made the drive all the way from North Scottsdale... and I was not one bit disappointed!',Positive
'Now the pizza itself was good the peanut sauce was very tasty.',Positive
'Food is way overpriced and portions are fucking small.',Negative
'Both of the egg rolls were fantastic.',Positive
'Very Very Disappointed ordered the $35 Big Bay Plater.',Negative
'And the drinks are WEAK, people!',Negative
'Food was good, service was good, Prices were good.',Positive
'There is really nothing for me at postinos, hope your experience is better',Negative
'Reasonably priced also!',Positive
'It wasn\'t busy at all and now we know why.',Negative
'The service was terrible, food was mediocre.',Negative
'Tonight I had the Elk Filet special...and it sucked.',Negative
'Very poor service.',Negative
'A great touch.',Positive
'The sweet potato tots were good but the onion rings were perfection or as close as I have had.',Positive
'I have eaten here multiple times, and each time the food was delicious.',Positive
'The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.',Positive
'The staff are also very friendly and efficient.',Positive
'Worst Thai ever.',Negative
'Good beer & drink selection and good food selection.',Positive
'Good service, very clean, and inexpensive, to boot!',Positive
'Great food and great service in a clean and friendly setting.',Positive
'I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.',Negative
'If there were zero stars I would give it zero stars.',Negative
'Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.',Negative
'Very convenient, since we were staying at the MGM!',Positive
'The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.',Negative
'This was my first and only Vegas buffet and it did not disappoint.',Positive
'Probably not in a hurry to go back.',Negative
'The food came out at a good pace.',Positive
'The warm beer didn\'t help.',Negative
'This is one of the better buffets that I have been to.',Positive
'Not my thing.',Negative
'Not much seafood and like 5 strings of pasta at the bottom.',Negative
'All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.',Positive
'The only redeeming quality of the restaurant was that it was very inexpensive.',Positive
'I had the chicken Pho and it tasted very bland.',Negative
'The dining space is tiny, but elegantly decorated and comfortable.',Positive
'We won\'t be returning.',Negative
'I\'d say that would be the hardest decision... Honestly, all of M\'s dishes taste how they are supposed to taste (amazing).',Positive
'Very, very sad.',Negative
'We recently witnessed her poor quality of management towards other guests as well.',Negative
'Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I\'ve tried so far and they\'re all good.',Positive
'I probably won\'t be coming back here.',Negative
'The crêpe was delicate and thin and moist.',Positive
'Both of them were truly unbelievably good, and I am so glad we went back.',Positive
'So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.',Negative
'The selection was probably the worst I\'ve seen in Vegas.....there was none.',Negative
'Any grandmother can make a roasted chicken better than this one.',Negative
'Food arrived quickly!',Positive
'the potatoes were great and so was the biscuit.',Positive
'My drink was never empty and he made some really great menu suggestions.',Positive
'The folks at Otto always make us feel so welcome and special.',Positive
'Cant say enough good things about this place.',Positive
'I left with a stomach ache and felt sick the rest of the day.',Negative
'I love their fries and their beans.',Positive
'Very good lunch spot.',Positive
'The fries were not hot, and neither was my burger.',Negative
'It shouldn\'t take 30 min for pancakes and eggs.',Negative
'I will not return.',Negative
'Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.',Negative
'Our server was super nice and checked on us many times.',Positive
'We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.',Negative
'Plus, it\'s only 8 bucks.',Positive
'Must have been an off night at this place.',Negative
'The only downside is the service.',Negative
'I don\'t think we\'ll be going back anytime soon.',Negative
'the food is not tasty at all, not to say its "real traditional Hunan style".',Negative
'Do not waste your money here!',Negative
'Maybe if they weren\'t cold they would have been somewhat edible.',Negative
'This place is like Chipotle, but BETTER.',Positive
'There was a warm feeling with the service and I felt like their guest for a special treat.',Positive
'We sat another ten minutes and finally gave up and left.',Negative
'Best tacos in town by far!!',Positive
'Will not be back!',Negative
'On a positive note, our server was very attentive and provided great service.',Positive
'My sashimi was poor quality being soggy and tasteless.',Negative
'This place was such a nice surprise!',Positive
'AN HOUR... seriously?',Negative
'Food was average at best.',Negative
'I\'d rather eat airline food, seriously.',Negative
'These were so good we ordered them twice.',Positive
'Nothing special.',Negative
'Nargile - I think you are great.',Positive
'I think food should have flavor and texture and both were lacking.',Negative
'The chains, which I\'m no fan of, beat this place easily.',Negative
'After one bite, I was hooked.',Positive
'The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.',Positive
'But then they came back cold.',Negative
'The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.',Negative
'I can take a little bad service but the food sucks.',Negative
'Dessert: Panna Cotta was amazing.',Positive
'On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.',Positive
'What did bother me, was the slow service.',Negative
'Best fish I\'ve ever had in my life!',Positive
'Their frozen margaritas are WAY too sugary for my taste.',Negative
'Pretty cool I would say.',Positive
'If you look for authentic Thai food, go else where.',Negative
'Good prices.',Positive
'Check it out.',Positive
'How can you call yourself a steakhouse if you can\'t properly cook a steak, I don\'t understand!',Negative
'Service is quick and friendly.',Positive
'Best Buffet in town, for the price you cannot beat it.',Positive
'Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.',Positive
'I\'m not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.',Negative
'REAL sushi lovers, let\'s be honest - Yama is not that good.',Negative
'This place is amazing!',Positive
'I promise they won\'t disappoint.',Positive
'Waitress was sweet and funny.',Positive
'Won\'t go back.',Negative
'I ate there twice on my last visit, and especially enjoyed the salmon salad.',Positive
'My friend did not like his Bloody Mary.',Negative
'Today is the second time I\'ve been to their lunch buffet and it was pretty good.',Positive
'Cooked to perfection and the service was impeccable.',Positive
'I got home to see the driest damn wings ever!',Negative
'Waitress was a little slow in service.',Negative
'I *heart* this place.',Positive
'It is PERFECT for a sit-down family meal or get together with a few friends.',Positive
'Now I am getting angry and I want my damn pho.',Negative
'The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.',Negative
'The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.',Negative
'The portion was huge!',Positive
'The service was outshining & I definitely recommend the Halibut.',Positive
'I liked the patio and the service was outstanding.',Positive
'So flavorful and has just the perfect amount of heat.',Positive
